age,job,marital,education,default,balance,housing,loan,contact,day,month,duration, campaign,pdays,previous,poutcome,y
58,"JobCat6","married","tertiary","no",2143,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
31,"JobCat4","married","secondary","no",2,"yes","yes","unknown",5,"may",0,1,-1,0,"unknown",?
33,"JobCat6","married","tertiary","no",231,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
43,"JobCat9","single","secondary","no",593,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
27,"JobCat11","single","secondary","no",390,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
53,"JobCat9","married","secondary","no",6,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
57,"JobCat7","married","secondary","no",162,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
57,"JobCat3","married","primary","no",52,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
60,"JobCat2","married","primary","no",60,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
37,"JobCat6","single","tertiary","no",255,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
57,"JobCat9","married","secondary","no",839,"no","yes","unknown",5,"may",0,1,-1,0,"unknown",?
60,"JobCat11","married","secondary","no",39,"yes","yes","unknown",5,"may",0,1,-1,0,"unknown",?
59,"JobCat3","married","secondary","no",0,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
51,"JobCat6","married","tertiary","no",10635,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
35,"JobCat11","single","secondary","no",0,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
60,"JobCat3","married","unknown","no",104,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
44,"JobCat9","married","secondary","no",0,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
30,"JobCat6","married","tertiary","no",0,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
22,"JobCat9","single","secondary","no",-103,"yes","yes","unknown",5,"may",0,1,-1,0,"unknown",?
36,"JobCat4","single","tertiary","no",243,"no","yes","unknown",5,"may",0,1,-1,0,"unknown",?
47,"JobCat3","married","unknown","no",306,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
30,"JobCat11","married","tertiary","no",0,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
57,"JobCat3","married","primary","no",249,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
49,"JobCat3","married","unknown","no",154,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
59,"JobCat6","divorced","tertiary","no",59,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
57,"JobCat3","married","secondary","no",5935,"yes","yes","unknown",5,"may",0,1,-1,0,"unknown",?
55,"JobCat3","married","primary","no",23,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
49,"JobCat7","divorced","secondary","no",0,"yes","yes","unknown",5,"may",0,1,-1,0,"unknown",?
55,"JobCat7","divorced","secondary","yes",1,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
45,"JobCat11","single","secondary","no",206,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
42,"JobCat9","single","secondary","no",690,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
51,"JobCat3","married","primary","no",173,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
42,"JobCat6","single","secondary","no",50,"no","no","unknown",5,"may",0,1,-1,0,"unknown",?
28,"JobCat9","married","secondary","no",152,"yes","yes","unknown",5,"may",0,2,-1,0,"unknown",?
60,"JobCat11","married","secondary","no",290,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
34,"JobCat6","married","tertiary","no",101,"yes","yes","unknown",5,"may",0,1,-1,0,"unknown",?
60,"JobCat2","married","tertiary","no",81,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
53,"JobCat3","married","primary","no",90,"no","no","unknown",5,"may",0,1,-1,0,"unknown",?
52,"JobCat3","married","primary","no",128,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
25,"JobCat9","single","tertiary","no",0,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
32,"JobCat11","married","secondary","no",61,"no","yes","unknown",5,"may",0,1,-1,0,"unknown",?
34,"JobCat3","married","primary","no",448,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
59,"JobCat2","divorced","primary","no",81,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
59,"JobCat6","divorced","tertiary","no",262,"no","no","unknown",5,"may",0,1,-1,0,"unknown",?
57,"JobCat9","married","primary","no",0,"no","no","unknown",5,"may",0,1,-1,0,"unknown",?
32,"JobCat11","married","unknown","no",3,"yes","no","unknown",5,"may",0,3,-1,0,"unknown",?
55,"JobCat7","married","secondary","no",2476,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
21,"JobCat3","married","secondary","no",94,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
43,"JobCat7","single","unknown","no",0,"no","no","unknown",5,"may",0,1,-1,0,"unknown",?
30,"JobCat3","married","secondary","no",517,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
57,"JobCat10","married","tertiary","no",42,"no","no","unknown",5,"may",0,1,-1,0,"unknown",?
35,"JobCat3","married","secondary","no",37,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
31,"JobCat7","married","secondary","no",22,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
51,"JobCat3","married","unknown","no",-19,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
50,"JobCat9","married","primary","no",139,"no","no","unknown",5,"may",0,2,-1,0,"unknown",?
41,"JobCat7","married","secondary","no",0,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
47,"JobCat7","single","secondary","no",176,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
52,"JobCat6","married","tertiary","no",271,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
54,"JobCat9","married","secondary","no",1378,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
54,"JobCat11","married","tertiary","no",184,"no","no","unknown",5,"may",0,2,-1,0,"unknown",?
33,"JobCat3","married","secondary","no",0,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
44,"JobCat7","married","secondary","no",1357,"yes","yes","unknown",5,"may",0,1,-1,0,"unknown",?
33,"JobCat2","single","primary","no",434,"no","no","unknown",5,"may",0,1,-1,0,"unknown",?
51,"JobCat6","married","secondary","no",1161,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
33,"JobCat9","divorced","secondary","no",787,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
51,"JobCat2","married","secondary","no",2127,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
31,"JobCat3","single","secondary","no",307,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
36,"JobCat7","married","secondary","no",155,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
47,"JobCat11","married","secondary","no",219,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
50,"JobCat7","married","secondary","no",5699,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
41,"JobCat6","married","tertiary","no",517,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
37,"JobCat7","single","unknown","no",257,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
59,"JobCat1","divorced","primary","no",195,"no","no","unknown",5,"may",0,2,-1,0,"unknown",?
34,"JobCat7","married","secondary","no",301,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
53,"JobCat10","married","unknown","no",13,"no","no","unknown",5,"may",0,3,-1,0,"unknown",?
26,"JobCat3","married","primary","no",324,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
58,"JobCat6","married","unknown","no",1065,"yes","no","unknown",5,"may",0,3,-1,0,"unknown",?
53,"JobCat7","divorced","secondary","no",1467,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
53,"JobCat11","divorced","secondary","no",315,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
44,"JobCat11","divorced","secondary","no",66,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
49,"JobCat3","divorced","primary","no",-9,"yes","yes","unknown",5,"may",0,1,-1,0,"unknown",?
36,"JobCat11","married","secondary","no",0,"no","no","unknown",5,"may",0,1,-1,0,"unknown",?
43,"JobCat9","married","secondary","no",434,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
49,"JobCat6","married","tertiary","no",3237,"yes","no","unknown",5,"may",0,3,-1,0,"unknown",?
49,"JobCat11","married","secondary","no",428,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
32,"JobCat7","single","secondary","no",0,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
37,"JobCat3","married","primary","no",279,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
59,"JobCat4","divorced","secondary","no",901,"yes","no","unknown",5,"may",0,3,-1,0,"unknown",?
40,"JobCat3","married","secondary","no",475,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
53,"JobCat3","married","secondary","no",70,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
28,"JobCat5","single","tertiary","no",25,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
35,"JobCat6","single","tertiary","no",600,"yes","no","unknown",5,"may",0,1,-1,0,"unknown",?
37,"JobCat11","divorced","secondary","no",-349,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
42,"JobCat6","single","tertiary","no",0,"yes","yes","unknown",5,"may",0,2,-1,0,"unknown",?
56,"JobCat4","divorced","secondary","no",155,"no","no","unknown",5,"may",0,3,-1,0,"unknown",?
35,"JobCat11","married","secondary","no",190,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
49,"JobCat7","married","secondary","no",47,"no","no","unknown",5,"may",0,2,-1,0,"unknown",?
50,"JobCat3","married","primary","no",61,"yes","no","unknown",5,"may",0,3,-1,0,"unknown",?
31,"JobCat11","single","secondary","no",352,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
47,"JobCat11","married","secondary","no",368,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
50,"JobCat9","single","tertiary","no",339,"yes","no","unknown",5,"may",0,3,-1,0,"unknown",?
30,"JobCat3","married","secondary","no",1331,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
40,"JobCat8","married","secondary","no",672,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
35,"JobCat6","married","tertiary","no",58,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
22,"JobCat5","single","secondary","no",423,"yes","no","unknown",5,"may",0,3,-1,0,"unknown",?
54,"JobCat6","married","tertiary","no",0,"no","no","unknown",5,"may",0,2,-1,0,"unknown",?
56,"JobCat9","divorced","primary","no",13,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
29,"JobCat3","single","secondary","no",3,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
42,"JobCat3","divorced","primary","no",28,"yes","no","unknown",5,"may",0,3,-1,0,"unknown",?
42,"JobCat3","married","unknown","no",408,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
51,"JobCat11","married","secondary","no",531,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
57,"JobCat2","married","secondary","no",211,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
44,"JobCat3","married","secondary","no",129,"yes","yes","unknown",5,"may",0,2,-1,0,"unknown",?
43,"JobCat6","married","unknown","no",0,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
56,"JobCat11","married","secondary","no",353,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
35,"JobCat7","divorced","secondary","no",398,"yes","yes","unknown",5,"may",0,2,-1,0,"unknown",?
46,"JobCat11","married","secondary","no",-358,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
51,"JobCat9","single","secondary","no",0,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
40,"JobCat2","single","primary","no",0,"no","no","unknown",5,"may",0,2,-1,0,"unknown",?
42,"JobCat3","married","secondary","no",490,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
48,"JobCat6","married","secondary","no",161,"yes","no","unknown",5,"may",0,3,-1,0,"unknown",?
55,"JobCat6","single","tertiary","no",115,"no","no","unknown",5,"may",0,4,-1,0,"unknown",?
57,"JobCat9","married","unknown","no",206,"yes","no","unknown",5,"may",0,3,-1,0,"unknown",?
42,"JobCat3","married","unknown","no",57,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
28,"JobCat3","single","secondary","no",-457,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
45,"JobCat6","divorced","tertiary","no",24598,"yes","no","unknown",5,"may",0,3,-1,0,"unknown",?
49,"JobCat3","married","secondary","no",30,"yes","no","unknown",5,"may",0,4,-1,0,"unknown",?
53,"JobCat9","married","secondary","no",56,"yes","yes","unknown",5,"may",0,2,-1,0,"unknown",?
30,"JobCat7","single","secondary","no",121,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
41,"JobCat3","single","secondary","no",842,"yes","no","unknown",5,"may",0,3,-1,0,"unknown",?
43,"JobCat6","divorced","secondary","no",693,"yes","no","unknown",5,"may",0,3,-1,0,"unknown",?
32,"JobCat11","married","secondary","no",560,"yes","no","unknown",5,"may",0,3,-1,0,"unknown",?
34,"JobCat3","married","secondary","no",0,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
44,"JobCat3","single","secondary","no",34,"yes","no","unknown",5,"may",0,4,-1,0,"unknown",?
31,"JobCat4","single","tertiary","no",1068,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
46,"JobCat11","single","tertiary","no",377,"yes","no","unknown",5,"may",0,2,-1,0,"unknown",?
25,"JobCat7","married","secondary","no",8,"yes","no","unknown",6,"may",0,3,-1,0,"unknown",?
48,"JobCat11","married","secondary","no",126,"yes","yes","unknown",6,"may",0,2,-1,0,"unknown",?
46,"JobCat9","married","tertiary","no",841,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
36,"JobCat11","divorced","secondary","no",308,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
43,"JobCat6","divorced","tertiary","no",1,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
36,"JobCat11","married","secondary","no",46,"yes","yes","unknown",6,"may",0,1,-1,0,"unknown",?
35,"JobCat3","married","secondary","no",1293,"no","no","unknown",6,"may",0,1,-1,0,"unknown",?
48,"JobCat3","married","unknown","no",131,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
36,"JobCat11","single","secondary","no",393,"no","no","unknown",6,"may",0,2,-1,0,"unknown",?
43,"JobCat3","married","primary","no",98,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
31,"JobCat6","married","tertiary","no",0,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
55,"JobCat3","married","secondary","no",224,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
49,"JobCat7","married","secondary","no",245,"yes","yes","unknown",6,"may",0,1,-1,0,"unknown",?
35,"JobCat9","married","tertiary","no",8730,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
43,"JobCat3","married","secondary","no",1205,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
30,"JobCat9","single","secondary","no",0,"yes","yes","unknown",6,"may",0,3,-1,0,"unknown",?
40,"JobCat11","single","secondary","no",263,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
36,"JobCat11","married","secondary","no",1,"no","no","unknown",6,"may",0,1,-1,0,"unknown",?
42,"JobCat1","married","primary","no",17,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
48,"JobCat9","married","secondary","no",141,"yes","yes","unknown",6,"may",0,1,-1,0,"unknown",?
52,"JobCat9","married","unknown","no",7,"no","no","unknown",6,"may",0,2,-1,0,"unknown",?
36,"JobCat9","married","secondary","no",284,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
46,"JobCat3","married","secondary","no",1660,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
34,"JobCat4","married","tertiary","no",1169,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
43,"JobCat10","married","secondary","no",0,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
49,"JobCat6","single","tertiary","no",163,"yes","no","unknown",6,"may",0,3,-1,0,"unknown",?
30,"JobCat6","single","tertiary","no",151,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
36,"JobCat9","single","tertiary","no",9,"yes","no","unknown",6,"may",0,3,-1,0,"unknown",?
43,"JobCat6","married","secondary","no",375,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
37,"JobCat7","married","secondary","no",1142,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
54,"JobCat3","married","primary","no",2102,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
40,"JobCat3","married","secondary","no",217,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
55,"JobCat11","married","secondary","no",131,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
42,"JobCat6","married","tertiary","no",1680,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
30,"JobCat3","married","secondary","no",320,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
55,"JobCat11","married","secondary","no",183,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
33,"JobCat6","single","tertiary","no",560,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
33,"JobCat11","married","secondary","no",530,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
49,"JobCat7","married","primary","no",61,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
32,"JobCat9","single","tertiary","no",242,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
34,"JobCat3","married","secondary","no",139,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
22,"JobCat8","single","secondary","no",0,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
51,"JobCat11","divorced","secondary","no",228,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
37,"JobCat9","single","unknown","no",45248,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
50,"JobCat8","married","unknown","no",-84,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
30,"JobCat7","single","secondary","no",310,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
42,"JobCat3","married","unknown","no",132,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
35,"JobCat6","married","tertiary","no",231,"yes","yes","unknown",6,"may",0,2,-1,0,"unknown",?
32,"JobCat3","married","secondary","no",270,"yes","yes","unknown",6,"may",0,1,-1,0,"unknown",?
40,"JobCat11","single","secondary","no",-109,"yes","yes","unknown",6,"may",0,1,-1,0,"unknown",?
33,"JobCat3","married","secondary","no",89,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
37,"JobCat3","married","primary","no",0,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
37,"JobCat10","married","primary","no",408,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
34,"JobCat7","single","primary","no",58,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
57,"JobCat2","single","secondary","no",1640,"no","yes","unknown",6,"may",0,4,-1,0,"unknown",?
46,"JobCat3","married","unknown","no",1044,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
37,"JobCat3","married","secondary","no",983,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
32,"JobCat11","married","secondary","no",869,"no","no","unknown",6,"may",0,1,-1,0,"unknown",?
41,"JobCat9","married","secondary","no",871,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
43,"JobCat3","married","secondary","no",0,"no","no","unknown",6,"may",0,1,-1,0,"unknown",?
54,"JobCat6","divorced","primary","no",0,"no","no","unknown",6,"may",0,1,-1,0,"unknown",?
40,"JobCat3","married","primary","no",-66,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
30,"JobCat9","married","secondary","no",0,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
27,"JobCat3","married","secondary","no",1,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
37,"JobCat11","single","secondary","no",0,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
44,"JobCat3","married","secondary","no",-99,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
46,"JobCat11","married","primary","no",276,"yes","yes","unknown",6,"may",0,2,-1,0,"unknown",?
35,"JobCat6","single","tertiary","no",230,"yes","yes","unknown",6,"may",0,1,-1,0,"unknown",?
41,"JobCat3","married","secondary","no",946,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
57,"JobCat2","divorced","secondary","no",-331,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
48,"JobCat3","single","secondary","no",44,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
24,"JobCat11","single","secondary","no",712,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
58,"JobCat2","married","secondary","no",5435,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
44,"JobCat3","married","primary","no",148,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
27,"JobCat6","single","tertiary","no",0,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
53,"JobCat2","married","primary","no",136,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
28,"JobCat11","divorced","secondary","no",83,"yes","yes","unknown",6,"may",0,1,-1,0,"unknown",?
42,"JobCat7","single","secondary","no",518,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
48,"JobCat3","married","secondary","no",157,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
40,"JobCat10","single","secondary","no",11,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
34,"JobCat11","married","secondary","no",639,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
45,"JobCat3","married","secondary","no",82,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
28,"JobCat5","single","tertiary","no",34,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
31,"JobCat3","married","secondary","no",-10,"yes","no","unknown",6,"may",0,1,-1,0,"unknown",?
34,"JobCat11","married","secondary","no",-106,"yes","no","unknown",6,"may",0,2,-1,0,"unknown",?
